является, є
отношение, відношення
примеру, наприклад
гостей, гостей
составил, склав
победы, перемоги
авто, авто
вышел, вийшов
исключительно, виключно
члены, члени
товары, товари
размере, розмірі
количества, кількості
принимать, приймати
мужчины, чоловіки
договор, договір
интерес, інтерес
станции, станції
высокой, високою
мать, матір
родителей, батьків
квартиру, квартиру
действие, дія
акций, акцій
программу, програму
цвет, колір
направлении, напрямку
комплекс, комплекс
статья, стаття
кино, кіно
домой, додому
доступ, доступ
представлены, представлені
добавил, додав
постепенно, поступово
крови, крові
академии, академії
делают, роблять
называют, називають
обороны, оборони
накануне, напередодні
тонн, тонн
людьми, людьми
версия, версія
ради, заради
администрации, адміністрації
начать, почати
обеспечить, забезпечити
церковь, церква
начинается, починається
мужчина, чоловік
игр, ігр
лечения, лікування
условий, умов
втором, другому
реки, річки
программе, програмі
поверхности, поверхні
цене, ціною
член, член
родители, батьки
свыше, понад
пользу, користь
понедельник, понеділок
продукты, продукти
южной, південної
Турции, Туреччині
наличие, наявність
требования, вимоги
кризиса, кризи
партия, партія
продаже, продажу
начиная, починаючи
хозяйства, господарства
хотелось, хотілося
ученые, вчені
случаев, випадків
образ, образ
голову, голову
материал, матеріал
заниматься, займатися
осуществляется, здійснюється
ночью, вночі
функции, функції
связь, зв'язок
тело, тіло
последних, останніх
контроля, контролю
науки, науки
готов, готовий
русских, російських
комментарии, коментарі
пятницу, п'ятницю
борьбы, боротьби
настолько, настільки
времена, часи
переговоры, переговори
союз, Союз
любом, будь-якому
слов, слів
печати, друку
главного, головного
скоро, скоро
городов, міст
больших, великих
виктор, виктор
скорость, швидкість
содержание, зміст
политика, політика
президентом, президентом
задача, задача
мероприятий, заходів
желание, бажання
школа, школа
видеть, бачити
заседании, засіданні
бюджета, бюджету
компанией, компанією
российские, російські
подготовки, підготовки
работников, працівників
миру, світу
естественно, природно
поиск, пошук
сайтов, сайтів
Россией, Росією
политических, політичних
смогли, змогли
органы, органи
решений, рішень
товар, товар
четверг, четвер
приобрести, придбати
вторник, вівторок
плохо, погано
независимости, незалежності
нравится, подобається
режим, режим
минимум, мінімум
расположен, розташований
обучение, навчання
карты, карти
квартира, квартира
водой, водою
фонд, фонд
знают, знають
промышленности, промисловості
которыми, якими
программ, програм
приводит, призводить
Ташкенте, Ташкенті
радио, радіо
должность, посаду
особенности, особливості
нашу, нашу
отсутствие, відсутність
среды, середовища
международный, міжнародний
задачи, завдання
идти, йти
отца, батька
воздуха, повітря
любого, будь-якого
форму, форму
читать, читати
лучшие, кращі
министерство, міністерство
газ, газ
руководством, керівництвом
дал, дав
особо, особливо
крайне, вкрай
друзей, друзів
проводить, проводити
продам, продам
получается, виходить
молодежи, молоді
сезона, сезону
стоимости, вартості
очередной, черговий
сердце, серце
записи, записи
передачи, передачі
помогает, допомагає
сумма, сума
двери, двері
режиме, режимі
устройства, пристрою
оказывается, виявляється
проводится, проводиться
столице, столиці
большого, великого
научно, науково
институт, інститут
проведение, проведення
бывший, колишній
настоящий, справжній
вашему, вашому
память, пам'ять
продолжает, продовжує
небольшой, невеликий
устройство, пристрій
городской, міський
исследований, досліджень
официально, офіційно
местные, місцеві
встрече, зустрічі
идеи, ідеї
совместно, спільно
самостоятельно, самостійно
полной, повної
появились, з'явилися
непосредственно, безпосередньо
сюда, сюди
детали, деталі
заказ, замовлення
общая, загальна
конкурс, конкурс
Узбекистане, Узбекистані
театра, театру
матери, матері
обладает, володіє
сложно, складно
понятно, зрозуміло
современных, сучасних
группе, групі
мини, міні
идея, ідея
дизайн, дизайн
сына, сина
семья, родина
отправлено, відправлено
основании, підставі
торговли, торгівлі
ответственности, відповідальності
называется, називається
директора, директора
тема, тема
нужны, потрібні
машина, машина
имел, мав
предприятие, підприємство
своё, своє
смог, зміг
будущее, майбутнє
сторон, сторін
оказались, виявилися
государственный, державний
видно, видно
вида, виду
фактически, фактично
молодой, молодий
статье, статті
каждом, кожному
военных, військових
стороне, стороні
войска, війська
подходит, підходить
завтра, завтра
русском, російською
социальных, соціальних
николай, Микола
виду, увазі
лучший, кращий
изменений, змін
прошел, пройшов
полный, повний
музыки, музики
целях, цілях
магазины, магазини
границы, Межі
регионов, регіонів
средней, середньої
ежегодно, щорічно
Японии, Японії
получает, отримує
номера, номера
фоне, тлі
нефти, нафти
форум, форум
должности, посади
магазинах, магазинах
сезон, сезон
описание, опис
здоровье, здоров'я
установить, встановити
расходы, витрати
интернете, інтернеті
случай, випадок
новом, новому
быстрее, швидше
продаж, продажів
ясно, ясно
применения, застосування
учетом, урахуванням
землю, землю
главной, головною
света, світла
текст, текст
детям, дітям
осталось, залишилося
руках, руках
существуют, існують
включает, включає
позднее, пізніше
музей, музей
война, війна
отличается, відрізняється
ряда, ряду
мысли, думки
хороший, хороший
официальный, офіційний
темы, теми
повышения, підвищення
статус, статус
каждому, кожному
вызывает, викликає
среднем, середньому
девушка, дівчина
анализ, аналіз
проекты, проекти
великобритании, великобритании
относится, відноситься
середине, середині
бог, бог
Грузия, Грузія
какую, яку
правления, правління
народов, народів
отдела, відділу
главе, чолі
городах, містах
транспорта, транспорту
школу, школу
вовсе, зовсім
положения, положення
ассоциации, асоціації
современной, сучасної
войск, військ
содержит, містить
соглашение, Угода
наоборот, навпаки
могла, могла
годом, роком
необходимые, необхідні
ожидается, очікується
отель, готель
начальник, начальник
предлагаем, пропонуємо
появилась, з'явилася
матч, матч
достижения, досягнення
делу, справі
соглашения, угоди
получать, отримувати
причин, причин
Киеве, Києві
сделали, зробили
связано, пов'язане
неделе, тижні
веб, веб
восточной, східній
четырех, чотирьох
многое, багато
ибо, бо
известный, відомий
представить, уявити
берегу, березі
ваших, ваших
победу, перемогу
прежнему, як і раніше
письмо, лист
показывает, показує
уверен, упевнений
оружия, зброї
вторая, друга
нужен, потрібен
погибли, загинули
товара, товару
прошли, пройшли
поддержке, підтримки
машин, машин
считать, вважати
властей, влади
пришли, прийшли
правил, правил
повышение, підвищення
занимается, займається
нужна, потрібна
знания, знання
видел, бачив
ближайшее, найближчим
результатов, результатів
подобные, подібні
используются, використовуються
используют, використовують
человеком, людиною
прошла, пройшла
игре, грі
решить, вирішити
электронной, електронної
заключается, полягає
групп, груп
экономической, економічної
намного, набагато
выход, вихід
правилах, правилах
ресурсов, ресурсів
отзывы, відгуки
искать, Шукати
депутатов, депутатів
возраста, віку
службе, службі
скачать, завантажити
депутат, депутат
отмечается, відзначається
сроки, терміни
поколения, покоління
сотрудничество, співробітництво
зал, зал
сообщила, повідомила
кризис, криза
журналистов, журналістів
откуда, звідки
гости, гості
сохранить, зберегти
лечение, лікування
министров, міністрів
школ, шкіл
шаг, крок
окончания, закінчення
русские, російські
туристов, туристів
традиции, традиції
завод, завод
великой, великої
январе, січні
текущего, поточного
смысл, сенс
отдельных, окремих
человеку, людині
необходимость, необхідність
дороге, дорозі
игру, гру
конфиденциальности, конфіденційності
написал, написав
второе, друге
вне, поза
края, краю
Армении, Вірменії
состоялась, відбулася
блок, блок
любое, будь-який
впоследствии, згодом
процента, відсотка
воскресенье, неділя
выходит, виходить
ссылкой, посиланням
издание, видання
северо, північно
конец, кінець
италии, італії
видимо, мабуть
дочь, дочка
привести, привести
живут, живуть
оставить, залишити
некоторое, деякий
плюс, плюс
окна, вікна
остались, залишилися
возле, біля
никакого, ніякого
Литвы, Литви
Беларуси, Білорусі
действует, діє
социально, соціально
дают, дають
Китая, Китаю
здравоохранения, охорони здоров'я
ноги, ноги
появился, з'явився
назвать, назвати
состояния, стану
недвижимость, нерухомість
плане, плані
глаз, очей
документ, документ
мастер, майстер
широко, широко
выхода, виходу
отношению, відношенню
наличии, наявності
считаю, вважаю
Москву, Москву
матче, матчі
книг, книг
значения, значення
банков, банків
пройти, пройти
жена, дружина
общественного, суспільного
сферы, сфери
заранее, заздалегідь
друзья, друзі
советского, радянського
сентябре, вересні
дополнительные, додаткові
создании, створенні
имеются, є
субботу, суботу
задач, задач
северной, північній
пример, приклад
юг, південь
ведет, веде
периода, періоду
хватает, вистачає
группу, групу
такими, такими
общий, загальний
участок, ділянку
особое, особливе
частных, приватних
максимально, максимально
показать, показати
позволяют, дозволяють
вернуться, повернутися
зоны, зони
материала, матеріалу
следующие, наступні
вперед, вперед
болезни, хвороби
